mindex,n,predictors,rsquare,adjr,predrsq,cp,aic,sbic,sbc,msep,fpe,apc,hsp
99,5,mpg accelrate mpgmpge carclass_id mpg_rec,0.7594586840335431,0.7408120703927326,0.7128749885216462,1.503999497419585,3019.9082186097107,2613.5648641811517,3055.2079276810223,16841834881.687325,130288472.54097855,0.26208232933658737,939354.5244482951
100,5,mpg accelrate carclass_id mpg2 mpg_rec,0.7580897054085248,0.7393369693936818,0.7074831985554872,2.2410379826961844,3020.7027336147266,2614.2878754011604,3056.002442686038,16937685824.659359,131029975.65148686,0.26357390306235357,944700.617530547
101,5,mpg accelrate carclass_id mpg_rec I(factor(same_mpg)),0.7579498403459575,0.7391862620782023,0.7095855784719608,2.3163393292430783,3020.78365390122,2614.3615274951817,3056.0833629725316,16947478671.59716,131105733.13743281,0.26372629335440456,945246.8142569056
102,5,accelrate mpgmpge carclass_id mpg2 mpg_rec,0.7573558783124648,0.7385462564762217,0.7097020441255435,2.6361199813854057,3021.126776275527,2614.67386043727,3056.4264853468385,16989065749.700077,131427450.86721314,0.2643734460177623,947566.3364615223
103,5,accelrate carclass_id mpg2 mpg_rec I(factor(same_mpg)),0.7556217994106824,0.736677752853371,0.7060477645189955,3.5697232267265235,3022.1237411417255,2615.58163588083,3057.423450213037,17110479696.48213,132366709.43271574,0.26626281556746545,954338.2078782677
104,5,accelrate mpgmpge carclass_id mpg_rec I(factor(same_mpg)),0.7511983861720221,0.7319114393636517,0.6983310633205737,5.95122556255069,3024.6351758852065,2617.8701868913026,3059.934884956518,17420191128.298588,134762637.7661375,0.2710823553648118,971612.3847594629
105,5,mpg accelrate mpgmpge carclass_id mpg2,0.7387728023856293,0.7185226320279261,0.6827155829090191,12.64098191464683,3031.4580297300104,2624.100507981904,3066.757738801322,18290185663.741234,141492917.44991887,0.28462067799774726,1020136.3911313545
106,5,mpg accelrate carclass_id mpg2 I(factor(same_mpg)),0.7371299790149656,0.7167524580083737,0.6789034082226078,13.525454488990135,3032.3357143160524,2624.903348762381,3067.635423387364,18405210227.55609,142382747.73441035,0.2864106198792166,1026551.8942639534
107,5,mpg accelrate mpgmpge carclass_id I(factor(same_mpg)),0.6698302388119598,0.6442356836811041,0.5551856871429994,49.75867075127209,3064.2483302687488,2654.3063161743253,3099.5480393400603,23117295166.168198,178835447.42229703,0.35973720248846175,1289368.7629581615
108,5,mpg mpgmpge carclass_id mpg_rec I(factor(same_mpg)),0.658700869602892,0.6322435726728837,0.5983758128542224,55.750563739247184,3068.8896603839107,2658.6163192685444,3104.1893694552223,23896533434.66837,184863636.4207984,0.3718632316266998,1332830.832161488
